nname,mins,club_yc90,club_g90,club_a90
amine adli,3779,0.2858,0.2382,0.2143
amine boutrah,1214,0.0741,0.1483,0.2224
amine el ouazzani,3527,0.1021,0.3317,0.1021
amine gouiri,4639,0.1164,0.485,0.194
amine harit,3635,0.1981,0.099,0.2724
amine lachkar,1777,0.3039,0.0,0.0
amine oudrhiri,2444,0.2209,0.0368,0.0
amine salama,783,0.0,0.0,0.1149
amine sbai,1834,0.0491,0.1472,0.0491
amine talal,1229,0.2197,0.2197,0.1465
amir hadziahmetovic,2447,0.0736,0.0368,0.0368
amir murillo,5372,0.2345,0.0838,0.1173
amir richardson,2041,0.441,0.0441,0.0441
amir rrahmani,7674,0.129,0.0821,0.0469
amor layouni,703,0.256,0.0,0.7681
amorim,2219,0.1622,0.0811,0.0
amos pieper,3057,0.2061,0.0,0.0
amr warda,3061,0.0588,0.2058,0.2058
anan khalaili,5162,0.2441,0.1046,0.0523
anas tahiri,2312,0.1168,0.1168,0.0779
anass salah eddine,4361,0.1238,0.0413,0.1651
anass zaroury,3847,0.1404,0.2339,0.1638
anastasios bakasetas,5691,0.2688,0.2214,0.1581
anastasios chatzigiovanis,1413,0.0637,0.1274,0.1274
anastasios douvikas,4655,0.0967,0.6187,0.1547
anastasios tsokanis,1559,0.4041,0.0,0.0
anatoliy trubin,11130,0.0404,0.0081,0.0
ander barrenetxea,5042,0.2499,0.2321,0.1964
ander guevara,4554,0.1976,0.0198,0.0593
ander herrera,1129,0.4783,0.0,0.1594
anders dahl,695,0.0,0.1295,0.3885
anders dreyer,2745,0.0,0.1967,0.459
anders jacobsen,1294,0.0,0.1391,0.2087
anders klynge,1701,0.1587,0.0,0.4233
anderson,1148,0.2352,0.0,0.0
anderson arroyo,2353,0.0765,0.0765,0.0765
andi hadroj,503,0.3579,0.0,0.3579
andi zeqiri,1924,0.0468,0.5146,0.1403
andoni gorosabel,5386,0.2172,0.0167,0.0668
andras schafer,4351,0.1448,0.0827,0.0827
andraz sporar,1387,0.1298,0.5191,0.0
andre,5769,0.3432,0.0156,0.0
andre almeida,3809,0.0473,0.0473,0.1654
andre andre,571,1.2609,0.0,0.4729
andre ayew,3406,0.1321,0.2642,0.0264
andre brooks,638,0.1411,0.0,0.0
andre ferreira,2775,0.0649,0.0,0.0324
andre franco,645,0.6977,0.1395,0.0
andre geraldes,3576,0.3272,0.0,0.0252
andre gomes,3982,0.2034,0.0226,0.0
andre goncalves,1232,0.2192,0.0,0.2192
andre green,980,0.0918,0.0,0.0918
andre horta,1535,0.0586,0.1173,0.4691
andre lacximicant,2409,0.2989,0.3362,0.2242
andre luiz,4520,0.1394,0.2389,0.1792
andre onana,9307,0.0677,0.0,0.0097
andre ramalho,1385,0.1949,0.065,0.065
andre raymond,1277,0.3524,0.0,0.141
andre rmer,2809,0.1282,0.0641,0.0
andre silva,4191,0.1503,0.4295,0.0644
andre teixeira,630,0.2857,0.0,0.1429
andrea belotti,2635,0.0342,0.3416,0.0683
andrea bertolacci,768,0.2344,0.0,0.0
andrea cambiaso,8543,0.1686,0.0737,0.158
andrea carboni,2976,0.1512,0.0302,0.0302
andrea colpani,3017,0.0597,0.1193,0.1492
andrea consigli,1710,0.0,0.0,0.0
andrea petagna,970,0.1856,0.0928,0.0
andrea pinamonti,7202,0.1125,0.3124,0.075
andreas athanasakopoulos,819,0.2198,0.0,0.0
andreas bouchalakis,1813,0.1986,0.0,0.0
andreas bruus,1035,0.1739,0.0,0.0
andreas christensen,2299,0.4306,0.1566,0.0391
andreas cornelius,2096,0.3435,0.2576,0.1718
andreas gianniotis,7290,0.1111,0.0123,0.0123
andreas hanche olsen,3339,0.3235,0.0539,0.027
andreas hansen,4620,0.0,0.0,0.0195
andreas helmersen,471,0.7643,0.3822,0.0
andreas hountondji,1600,0.1125,0.2812,0.0562
andreas jungdal,3420,0.0789,0.0,0.0
andreas kuen,650,0.0,0.1385,0.2769
andreas ntoi,4942,0.255,0.0364,0.0364
andreas oggesen,3229,0.1115,0.0,0.1672
andreas pereira,3953,0.2504,0.0911,0.2504
andreas poulsen,3579,0.1006,0.0251,0.2012
andreas pyndt,1632,0.0551,0.0551,0.2206
andreas schjelderup,4131,0.0654,0.3268,0.305
andreas skov olsen,3931,0.0916,0.3205,0.2061
andreas tetteh,3606,0.2995,0.3245,0.2745
andreas vasilogiannis,482,0.5602,0.0,0.3734
andreas verstraeten,1377,0.2614,0.0,0.0654
andreaw gravillon,2434,0.1109,0.1109,0.0
andrei ivan,1692,0.3191,0.2128,0.0532
andrei motoc,1170,0.2308,0.0,0.0769
andrei ratiu,6617,0.204,0.0272,0.0952
andrei vlad,450,0.2,0.0,0.0
andrej djuric,648,0.4167,0.0,0.0
andrej ilic,3366,0.2139,0.3476,0.3209
andrej kramaric,7207,0.1124,0.4371,0.2872
andres alarcon,1373,0.1311,0.0655,0.0
andres castrin,1478,0.3045,0.0609,0.0
andres ferrari,819,0.1099,0.5495,0.2198
andres garcia,638,0.1411,0.0,0.0
andres jasson,1311,0.2746,0.0686,0.2059
andres roa,953,0.1889,0.0,0.0944
andrew,6176,0.0583,0.0,0.0
andrew hjulsager,1516,0.2375,0.1187,0.1781
andrew jung,1558,0.2888,0.1733,0.3466
andrew omobamidele,3166,0.3127,0.0569,0.0
andrew robertson,6517,0.0967,0.0691,0.0829
andrew shinnie,917,0.1963,0.1963,0.0981
andrey egorychev,636,0.1415,0.0,0.283
