ref_norm,referee,club_games,club_cpg,club_ratio
denys shurman,Denys Shurman,91,5.011,1.163
miguel nogueira,Miguel Nogueira,91,4.648,1.079
maksym kozyryatskyi,Maksym Kozyryatskyi,90,4.633,1.075
vitor ferreira,Vítor Ferreira,90,5.367,1.246
valentin pizarro gomez,Valentin Pizarro Gomez,89,4.247,0.986
dr. matthias jollenbeck,Dr. Matthias Jöllenbeck,89,3.64,0.845
fredy fautrel,Fredy Fautrel,88,4.136,0.96
bruno esteves,Bruno Esteves,88,4.955,1.15
suat arslanboga,Suat Arslanboga,88,5.216,1.211
stavros mantalos,Stavros Mantalos,88,4.886,1.134
jerome miguelgorry,Jérôme Miguelgorry,87,4.115,0.955
kostyantyn trukhanov,Kostyantyn Trukhanov,86,4.302,0.999
bruno paixao,Bruno Paixão,86,5.791,1.344
praxitelis zachariadis,Praxitelis Zachariadis,86,5.605,1.301
richard martens,Richard Martens,86,3.465,0.804
david munro,David Munro,86,4.186,0.972
lars christoffersen,Lars Christoffersen,85,3.612,0.838
kenn hansen,Kenn Hansen,85,3.918,0.909
dimitrios karantonis,Dimitrios Karantonis,85,4.6,1.068
medie jimenez,Medié Jiménez,85,4.941,1.147
samuel barrott,Samuel Barrott,85,3.812,0.885
kateryna monzul,Kateryna Monzul,84,4.405,1.022
michael salisbury,Michael Salisbury,84,3.524,0.818
vangelis manouchos,Vangelis Manouchos,84,4.548,1.056
phil dowd,Phil Dowd,83,4.169,0.968
srdjan jovanovic,Srdjan Jovanovic,83,4.096,0.951
stephane lannoy,Stéphane Lannoy,82,3.939,0.914
lionel jaffredo,Lionel Jaffredo,82,3.902,0.906
radu petrescu,Radu Petrescu,82,3.805,0.883
andris treimanis,Andris Treimanis,82,4.902,1.138
matej jug,Matej Jug,82,4.451,1.033
vasiliy kazartsev,Vasiliy Kazartsev,82,5.402,1.254
jonas hansen,Jonas Hansen,82,3.927,0.911
reinold wiedemeijer,Reinold Wiedemeijer,81,3.37,0.782
ovidiu hategan,Ovidiu Hategan,81,4.506,1.046
erwin blank,Erwin Blank,81,3.37,0.782
soren storks,Sören Storks,81,4.062,0.943
said ennjimi,Said Ennjimi,80,3.737,0.868
pedro jesus perez montero,Pedro Jesús Pérez Montero,80,5.438,1.262
ingmar oostrom,Ingmar Oostrom,80,3.225,0.749
frederik geldhof,Frederik Geldhof,79,4.456,1.034
fernando teixeira vitienes,Fernando Teixeira Vitienes,79,5.734,1.331
alexandros aretopoulos,Alexandros Aretopoulos,79,4.848,1.125
andrea gervasoni,Andrea Gervasoni,79,5.456,1.266
aristomenis koutsiavtis,Aristomenis Koutsiavtis,79,5.38,1.249
livio marinelli,Livio Marinelli,79,3.861,0.896
joao goncalves,João Gonçalves,79,5.532,1.284
florian meyer,Florian Meyer,78,4.115,0.955
luc wouters,Luc Wouters,78,4.154,0.964
fabrizio pasqua,Fabrizio Pasqua,78,3.59,0.833
francesco fourneau,Francesco Fourneau,78,4.564,1.059
jannick van der laan,Jannick van der Laan,78,3.154,0.732
thomas bramall,Thomas Bramall,78,3.756,0.872
dmytro kutakov,Dmytro Kutakov,77,5.974,1.387
tony harrington,Tony Harrington,77,3.429,0.796
gunter perl,Günter Perl,76,3.961,0.919
mohammed al hakim,Mohammed Al-Hakim,76,3.197,0.742
oleksandr shandor,Oleksandr Shandor,76,4.803,1.115
antonio rapuano,Antonio Rapuano,76,4.789,1.112
matthew macdermid,Matthew MacDermid,76,4.184,0.971
greg aitken,Greg Aitken,75,3.693,0.857
tim robinson,Tim Robinson,75,3.92,0.91
francisco jose hernandez maeso,Francisco José Hernández Maeso,75,4.213,0.978
pavel shadykhanov,Pavel Shadykhanov,75,4.36,1.012
knut kircher,Knut Kircher,74,3.054,0.709
harald lechner,Harald Lechner,74,4.297,0.997
glenn nyberg,Glenn Nyberg,74,3.689,0.856
alex bos,Alex Bos,74,3.0,0.696
yasin kol,Yasin Kol,74,5.419,1.258
anatoliy zhabchenko,Anatoliy Zhabchenko,73,6.274,1.456
pieter vink,Pieter Vink,73,3.11,0.722
nikola dabanovic,Nikola Dabanovic,73,3.849,0.893
domenico celi,Domenico Celi,73,5.233,1.215
colin steven,Colin Steven,73,4.11,0.954
oleksiy derevinskyi,Oleksiy Derevinskyi,73,4.658,1.081
urs schnyder,Urs Schnyder,73,4.753,1.103
kadir saglam,Kadir Sağlam,73,5.329,1.237
crawford allan,Crawford Allan,72,3.069,0.712
luis ferreira,Luís Ferreira,72,5.111,1.186
inaki bikandi garrido,Iñaki Bikandi Garrido,72,3.875,0.899
tobias reichel,Tobias Reichel,72,3.806,0.883
damir skomina,Damir Skomina,71,3.986,0.925
vasco santos,Vasco Santos,71,5.085,1.18
charalampos kalogeropoulos,Charalampos Kalogeropoulos,71,5.535,1.285
cihan aydn,Cihan Aydın,71,3.944,0.915
joeri van de velde,Joeri van de Velde,70,3.457,0.802
tolga ozkalfa,Tolga Özkalfa,70,5.657,1.313
daniel stefanski,Daniel Stefanski,70,4.814,1.117
volodymyr novokhatniy,Volodymyr Novokhatniy,70,4.729,1.098
aristidis vatsios,Aristidis Vatsios,70,5.7,1.323
antonio giua,Antonio Giua,70,4.629,1.074
mateo busquets ferrer,Mateo Busquets Ferrer,70,5.529,1.283
sebastien moreira,Sébastien Moreira,69,3.594,0.834
georgi kabakov,Georgi Kabakov,69,5.072,1.177
irfan peljto,Irfan Peljto,69,4.246,0.986
juan luis pulido santana,Juan Luis Pulido Santana,69,4.855,1.127
chris foy,Chris Foy,68,2.809,0.652
aleksey kulbakov,Aleksey Kulbakov,68,3.941,0.915
michalis koukoulakis,Michalis Koukoulakis,68,5.515,1.28
igor fedotov,Igor Fedotov,68,4.25,0.986
sebastien desiage,Sébastien Desiage,68,3.559,0.826
evgeni kukulyak,Evgeni Kukulyak,68,4.735,1.099
bahattin simsek,Bahattin Şimşek,68,3.5,0.812
matteo marchetti,Matteo Marchetti,68,3.971,0.922
giovanni ayroldi,Giovanni Ayroldi,68,5.5,1.277
victor garcia verdura,Víctor García Verdura,68,4.103,0.952
wilfried bien,Wilfried Bien,67,3.254,0.755
stephen finnie,Stephen Finnie,67,3.925,0.911
andriy kovalenko,Andriy Kovalenko,67,5.239,1.216
jacob karlsen,Jacob Karlsen,67,3.194,0.741
marc bollengier,Marc Bollengier,67,3.761,0.873
dr. jochen drees,Dr. Jochen Drees,66,3.848,0.893
orel grinfeld,Orel Grinfeld,66,4.576,1.062
georgios tzovaras,Georgios Tzovaras,66,4.697,1.09
horatiu fesnic,Horațiu Feșnic,66,4.545,1.055
jose antonio teixeira vitienes,José Antonio Teixeira Vitienes,65,6.815,1.582
eric braamhaar,Eric Braamhaar,65,2.369,0.55
iancu vasilica,Iancu Vasilica,65,4.431,1.028
dmytro panchyshyn,Dmytro Panchyshyn,65,4.154,0.964
dennis mogensen,Dennis Mogensen,64,3.641,0.845
oleksandr omelchenko,Oleksandr Omelchenko,64,4.609,1.07
espen eskas,Espen Eskås,64,3.844,0.892
athanasios giachos,Athanasios Giachos,63,5.46,1.267
tugay kaan numanoglu,Tugay Kaan Numanoğlu,63,4.794,1.113
alexandros katsikogiannis,Alexandros Katsikogiannis,62,4.226,0.981
duje strukan,Duje Strukan,62,5.597,1.299
pedro proenca,Pedro Proença,61,5.197,1.206
johan verbist,Johan Verbist,61,3.574,0.83
tamas bognar,Tamás Bognár,61,4.607,1.069
christiaan bax,Christiaan Bax,61,3.508,0.814
grant irvine,Grant Irvine,61,3.262,0.757
dimitrios styliaras,Dimitrios Styliaras,61,6.689,1.552
roman galimov,Roman Galimov,61,4.115,0.955
bartosz frankowski,Bartosz Frankowski,61,4.246,0.986
benjamin willaume jantzen,Benjamin Willaume Jantzen,61,3.689,0.856
sebastian gishamer,Sebastian Gishamer,61,4.344,1.008
tom van sichem,Tom van Sichem,60,3.767,0.874
jorge ferreira,Jorge Ferreira,60,6.233,1.447
gianluca aureliano,Gianluca Aureliano,60,4.117,0.956
bars simsek,Barış Şimşek,60,4.933,1.145
manolis skoulas,Manolis Skoulas,60,6.017,1.397
artem lyubimov,Artem Lyubimov,60,5.517,1.28
damian sylwestrzak,Damian Sylwestrzak,60,5.167,1.199
peter sippel,Peter Sippel,59,3.593,0.834
duarte gomes,Duarte Gomes,59,5.339,1.239
ivan bebek,Ivan Bebek,59,4.915,1.141
claudio gavillucci,Claudio Gavillucci,59,4.864,1.129
aleksandar stavrev,Aleksandar Stavrev,59,5.169,1.2
aliyar agayev,Aliyar Agayev,59,4.492,1.043
donatas rumsas,Donatas Rumsas,59,4.441,1.031
mathieu vernice,Mathieu Vernice,59,4.458,1.035
ivan bondar,Ivan Bondar,58,4.948,1.149
rohit saggi,Rohit Saggi,58,4.103,0.952
alexandros tsakalidis,Alexandros Tsakalidis,58,5.172,1.201
vitali meshkov,Vitali Meshkov,57,4.228,0.981
sergiy berezka,Sergiy Berezka,57,4.035,0.937
stavros tritsonis,Stavros Tritsonis,57,5.158,1.197
andreas pappas,Andreas Pappas,57,4.93,1.144
dimitrios thanos,Dimitrios Thanos,57,4.947,1.148
